iter	Passed	Remaining
0	217	215736
1	461	229018
2	680	225138
3	902	223695
4	1173	232348
5	1383	228094
6	1621	228875
7	1832	226047
8	2042	223787
9	2229	219598
10	2423	216796
11	2619	214542
12	2880	217554
13	3132	219515
14	3418	223334
15	3748	229348
16	3990	229572
17	4236	229960
18	4456	228938
19	4657	227044
20	4855	225204
21	5061	223860
22	5283	223292
23	5504	222709
24	5760	223504
25	6019	224333
26	6247	223972
27	6497	224408
28	6753	224956
29	7060	227117
30	7335	228114
31	7555	227381
32	7804	227519
33	8159	230635
34	8595	235765
35	8858	235970
36	9200	238222
37	9546	240416
38	9804	240327
39	10018	239195
40	10322	240183
41	10538	239121
42	10812	239388
43	11042	238670
44	11303	238620
45	11531	237894
46	11773	237464
47	12013	237016
48	12243	236370
49	12444	235201
50	12662	234373
51	12861	233244
52	13048	231918
53	13257	231031
54	13492	230599
55	13738	230371
56	13952	229603
57	14173	228982
58	14428	228895
59	14650	228305
60	14856	227471
61	15052	226522
62	15272	225931
63	15466	224982
64	15709	224771
65	15941	224389
66	16149	223676
67	16397	223541
68	16626	223135
69	16854	222716
70	17069	222147
71	17296	221737
72	17517	221246
73	17756	220996
74	17984	220607
75	18205	220140
76	18435	219785
77	18660	219383
78	18879	218908
79	19115	218629
80	19361	218472
81	19588	218102
82	19818	217762
83	20029	217225
84	20221	216493
85	20426	215900
86	20650	215522
87	20881	215219
88	21127	215073
89	21394	215132
90	21646	215034
91	21866	214626
92	22086	214214
93	22331	214049
94	22582	213937
95	22799	213512
96	23011	213038
97	23230	212628
98	23458	212308
99	23697	212095
100	23942	211924
101	24179	211687
102	24376	211108
103	24600	210760
104	24827	210441
105	25039	210003
106	25243	209497
107	25482	209288
108	25691	208831
109	25941	208707
110	26187	208552
111	26404	208173
112	26639	207930
113	26857	207554
114	27113	207475
115	27356	207297
116	27596	207095
117	27938	207646
118	28148	207212
119	28395	207054
120	28639	206865
121	28886	206701
122	29107	206354
123	29367	206284
124	29651	206373
125	29862	205958
126	30119	205859
127	30370	205714
128	30610	205493
129	30848	205263
130	31062	204870
131	31256	204351
132	31491	204105
133	31718	203804
134	31936	203444
135	32135	202972
136	32325	202448
137	32562	202215
138	32788	201923
139	33030	201719
140	33269	201503
141	33508	201284
142	33736	201005
143	33952	200651
144	34185	200396
145	34401	200048
146	34623	199731
147	34821	199281
148	35021	198846
149	35245	198549
150	35496	198405
151	35742	198230
152	35997	198102
153	36260	198019
154	36637	198551
155	36943	198687
156	37293	199057
157	37602	199198
158	37956	199569
159	38278	199767
160	38571	199807
161	38867	199856
162	39145	199811
163	39419	199740
164	39658	199494
165	39853	199028
166	40086	198751
167	40300	198381
168	40649	198675
169	40905	198514
170	41199	198527
171	41443	198304
172	41706	198166
173	41994	198144
174	42194	197712
175	42413	197368
176	42658	197142
177	42834	196604
178	43185	196868
179	43417	196586
180	43652	196314
181	43857	195910
182	44130	195812
183	44375	195588
184	44641	195455
185	44863	195130
186	45047	194641
187	45237	194186
188	45475	193931
189	45699	193620
190	45989	193587
191	46230	193351
192	46519	193309
193	46767	193098
194	47032	192955
195	47258	192648
196	47511	192458
197	47731	192131
198	47941	191765
199	48130	191318
200	48363	191048
201	48598	190784
202	48819	190466
203	49042	190160
204	49316	190050
205	49533	189716
206	49799	189574
207	50041	189339
208	50283	189105
209	50499	188771
